"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2023","Saskatchewan","Construction, renovation and demolition","Residential sources of diverted materials",47,
"2023","Saskatchewan","Construction, renovation and demolition","Non-residential sources of diverted materials",47,
"2023","Saskatchewan","All organic materials","All sources of diverted materials",47,33.1318058891624
"2023","Saskatchewan","All organic materials","Residential sources of diverted materials",47,29.6110660793534
"2023","Saskatchewan","All organic materials","Non-residential sources of diverted materials",47,3.51991353902518
"2023","Saskatchewan","Food waste and source separated organics","All sources of diverted materials",47,6.97620422769709
"2023","Saskatchewan","Food waste and source separated organics","Residential sources of diverted materials",47,
"2023","Saskatchewan","Food waste and source separated organics","Non-residential sources of diverted materials",47,
"2023","Saskatchewan","Leaf and yard waste","All sources of diverted materials",47,16.5188055099041
"2023","Saskatchewan","Leaf and yard waste","Residential sources of diverted materials",47,
"2023","Saskatchewan","Leaf and yard waste","Non-residential sources of diverted materials",47,
"2023","Saskatchewan","Other organic materials","All sources of diverted materials",47,9.6367961515612
"2023","Saskatchewan","Other organic materials","Residential sources of diverted materials",47,
"2023","Saskatchewan","Other organic materials","Non-residential sources of diverted materials",47,
"2023","Saskatchewan","Other materials","All sources of diverted materials",47,1.11546555814178
"2023","Saskatchewan","Other materials","Residential sources of diverted materials",47,0.830402137727772
"2023","Saskatchewan","Other materials","Non-residential sources of diverted materials",47,0.286715961981629
"2023","Alberta","All materials diverted","All sources of diverted materials",48,213.592783821783
"2023","Alberta","All materials diverted","Residential sources of diverted materials",48,
"2023","Alberta","All materials diverted","Non-residential sources of diverted materials",48,
"2023","Alberta","All paper fibres","All sources of diverted materials",48,56.0628642897118
"2023","Alberta","All paper fibres","Residential sources of diverted materials",48,15.964975293138
"2023","Alberta","All paper fibres","Non-residential sources of diverted materials",48,40.098315565323
"2023","Alberta","Glass","All sources of diverted materials",48,12.9083969205149
"2023","Alberta","Glass","Residential sources of diverted materials",48,
"2023","Alberta","Glass","Non-residential sources of diverted materials",48,
"2023","Alberta","Ferrous metals","All sources of diverted materials",48,11.1551993611706
"2023","Alberta","Ferrous metals","Residential sources of diverted materials",48,1.22553201654404
"2023","Alberta","Ferrous metals","Non-residential sources of diverted materials",48,9.92988062900121
"2023","Alberta","Copper and aluminum","All sources of diverted materials",48,5.34277358413301
"2023","Alberta","Copper and aluminum","Residential sources of diverted materials",48,3.39804665638352
"2023","Alberta","Copper and aluminum","Non-residential sources of diverted materials",48,1.94472692774949
"2023","Alberta","Mixed metals","All sources of diverted materials",48,4.28168382041797
"2023","Alberta","Mixed metals","Residential sources of diverted materials",48,1.69753033756945
"2023","Alberta","Mixed metals","Non-residential sources of diverted materials",48,2.58436676722314
"2023","Alberta","White goods","All sources of diverted materials",48,3.80371353690332
"2023","Alberta","White goods","Residential sources of diverted materials",48,2.81087477306543
"2023","Alberta","White goods","Non-residential sources of diverted materials",48,0.992198910714042
"2023","Alberta","Electronics","All sources of diverted materials",48,1.77026030931353
"2023","Alberta","Electronics","Residential sources of diverted materials",48,
"2023","Alberta","Electronics","Non-residential sources of diverted materials",48,
"2023","Alberta","Plastics","All sources of diverted materials",48,9.81044137921621
"2023","Alberta","Plastics","Residential sources of diverted materials",48,6.19292510135273
"2023","Alberta","Plastics","Non-residential sources of diverted materials",48,3.61858269973655
"2023","Alberta","Gable top and aseptic containers","All sources of diverted materials",48,1.31532473825742
"2023","Alberta","Gable top and aseptic containers","Residential sources of diverted materials",48,0.858896176578987
"2023","Alberta","Gable top and aseptic containers","Non-residential sources of diverted materials",48,0.456215277303813
"2023","Alberta","Textiles","All sources of diverted materials",48,0.134155871633519
"2023","Alberta","Textiles","Residential sources of diverted materials",48,
"2023","Alberta","Textiles","Non-residential sources of diverted materials",48,
"2023","Alberta","Tires","All sources of diverted materials",48,15.5313681595435
"2023","Alberta","Tires","Residential sources of diverted materials",48,
"2023","Alberta","Tires","Non-residential sources of diverted materials",48,
"2023","Alberta","Construction, renovation and demolition","All sources of diverted materials",48,14.8701865982337
"2023","Alberta","Construction, renovation and demolition","Residential sources of diverted materials",48,1.21124196344476
"2023","Alberta","Construction, renovation and demolition","Non-residential sources of diverted materials",48,13.6593712035381
"2023","Alberta","All organic materials","All sources of diverted materials",48,75.8085184072947
"2023","Alberta","All organic materials","Residential sources of diverted materials",48,64.0789442252829
"2023","Alberta","All organic materials","Non-residential sources of diverted materials",48,11.7293608976372
"2023","Alberta","Food waste and source separated organics","All sources of diverted materials",48,49.0268260555017
"2023","Alberta","Food waste and source separated organics","Residential sources of diverted materials",48,46.920003003044
"2023","Alberta","Food waste and source separated organics","Non-residential sources of diverted materials",48,2.10682305245772
"2023","Alberta","Leaf and yard waste","All sources of diverted materials",48,13.3140638010347
"2023","Alberta","Leaf and yard waste","Residential sources of diverted materials",48,8.89417170586549
"2023","Alberta","Leaf and yard waste","Non-residential sources of diverted materials",48,4.41967881079458
"2023","Alberta","Other organic materials","All sources of diverted materials",48,13.4676285507583
"2023","Alberta","Other organic materials","Residential sources of diverted materials",48,8.26476951637341
"2023","Alberta","Other organic materials","Non-residential sources of diverted materials",48,5.20285903438485
"2023","Alberta","Other materials","All sources of diverted materials",48,0.798110129813402
"2023","Alberta","Other materials","Residential sources of diverted materials",48,0.401614477402094
"2023","Alberta","Other materials","Non-residential sources of diverted materials",48,0.396495652411308
"2023","British Columbia","All materials diverted","All sources of diverted materials",59,307.221588832222
"2023","British Columbia","All materials diverted","Residential sources of diverted materials",59,
"2023","British Columbia","All materials diverted","Non-residential sources of diverted materials",59,
"2023","British Columbia","All paper fibres","All sources of diverted materials",59,100.025637789885
"2023","British Columbia","All paper fibres","Residential sources of diverted materials",59,22.1427825451254
"2023","British Columbia","All paper fibres","Non-residential sources of diverted materials",59,77.88575626766
"2023","British Columbia","Glass","All sources of diverted materials",59,17.3134859851584
"2023","British Columbia","Glass","Residential sources of diverted materials",59,10.2732473470146
"2023","British Columbia","Glass","Non-residential sources of diverted materials",59,7.0404199520751
"2023","British Columbia","Ferrous metals","All sources of diverted materials",59,15.3141372647996
"2023","British Columbia","Ferrous metals","Residential sources of diverted materials",59,3.4170423491323
"2023","British Columbia","Ferrous metals","Non-residential sources of diverted materials",59,11.8978201713924
"2023","British Columbia","Copper and aluminum","All sources of diverted materials",59,2.82795338636403
"2023","British Columbia","Copper and aluminum","Residential sources of diverted materials",59,0.448933293879422
"2023","British Columbia","Copper and aluminum","Non-residential sources of diverted materials",59,2.37883877855332
"2023","British Columbia","Mixed metals","All sources of diverted materials",59,8.8011595388534
"2023","British Columbia","Mixed metals","Residential sources of diverted materials",59,2.7731965791138
"2023","British Columbia","Mixed metals","Non-residential sources of diverted materials",59,6.02868821546477
"2023","British Columbia","White goods","All sources of diverted materials",59,5.16508996072015
"2023","British Columbia","White goods","Residential sources of diverted materials",59,3.53326457909059
"2023","British Columbia","White goods","Non-residential sources of diverted materials",59,1.63236932342344
"2023","British Columbia","Electronics","All sources of diverted materials",59,2.33876839973775
"2023","British Columbia","Electronics","Residential sources of diverted materials",59,
"2023","British Columbia","Electronics","Non-residential sources of diverted materials",59,
"2023","British Columbia","Plastics","All sources of diverted materials",59,11.2557875406868
"2023","British Columbia","Plastics","Residential sources of diverted materials",59,7.65326103984265
"2023","British Columbia","Plastics","Non-residential sources of diverted materials",59,3.60325175656937
"2023","British Columbia","Gable top and aseptic containers","All sources of diverted materials",59,0.354468735676199
"2023","British Columbia","Gable top and aseptic containers","Residential sources of diverted materials",59,0.295179080143659
"2023","British Columbia","Gable top and aseptic containers","Non-residential sources of diverted materials",59,0.0598335973264173
"2023","British Columbia","Textiles","All sources of diverted materials",59,0.104980766218169
"2023","British Columbia","Textiles","Residential sources of diverted materials",59,0.104980766218169
"2023","British Columbia","Textiles","Non-residential sources of diverted materials",59,0
"2023","British Columbia","Tires","All sources of diverted materials",59,9.43412647299438
"2023","British Columbia","Tires","Residential sources of diverted materials",59,
"2023","British Columbia","Tires","Non-residential sources of diverted materials",59,
"2023","British Columbia","Construction, renovation and demolition","All sources of diverted materials",59,30.9319753645135
"2023","British Columbia","Construction, renovation and demolition","Residential sources of diverted materials",59,2.39461309057574
"2023","British Columbia","Construction, renovation and demolition","Non-residential sources of diverted materials",59,28.5373622739378
"2023","British Columbia","All organic materials","All sources of diverted materials",59,102.211014603749
"2023","British Columbia","All organic materials","Residential sources of diverted materials",59,77.3133481865706
"2023","British Columbia","All organic materials","Non-residential sources of diverted materials",59,24.89784773111
"2023","British Columbia","Food waste and source separated organics","All sources of diverted materials",59,58.072857739639
"2023","British Columbia","Food waste and source separated organics","Residential sources of diverted materials",59,49.932224852483
"2023","British Columbia","Food waste and source separated organics","Non-residential sources of diverted materials",59,8.14063288715601
"2023","British Columbia","Leaf and yard waste","All sources of diverted materials",59,28.7351757729776
"2023","British Columbia","Leaf and yard waste","Residential sources of diverted materials",59,19.2794729421594
"2023","British Columbia","Leaf and yard waste","Non-residential sources of diverted materials",59,9.45588414474944
"2023","British Columbia","Other organic materials","All sources of diverted materials",59,15.4029810911327
"2023","British Columbia","Other organic materials","Residential sources of diverted materials",59,8.10165039192819
"2023","British Columbia","Other organic materials","Non-residential sources of diverted materials",59,7.30133069920454
"2023","British Columbia","Other materials","All sources of diverted materials",59,1.14282170893457
"2023","British Columbia","Other materials","Residential sources of diverted materials",59,0.854351244248722
"2023","British Columbia","Other materials","Non-residential sources of diverted materials",59,0.288470464685848
"2023","Territories","All materials diverted","All sources of diverted materials",,
"2023","Territories","All materials diverted","Residential sources of diverted materials",,
"2023","Territories","All materials diverted","Non-residential sources of diverted materials",,
"2023","Territories","All paper fibres","All sources of diverted materials",,
"2023","Territories","All paper fibres","Residential sources of diverted materials",,
"2023","Territories","All paper fibres","Non-residential sources of diverted materials",,
"2023","Territories","Glass","All sources of diverted materials",,6.64380789467655
"2023","Territories","Glass","Residential sources of diverted materials",,5.08594949178688
"2023","Territories","Glass","Non-residential sources of diverted materials",,1.55785840288967
"2023","Territories","Ferrous metals","All sources of diverted materials",,45.6742701357017
"2023","Territories","Ferrous metals","Residential sources of diverted materials",,
"2023","Territories","Ferrous metals","Non-residential sources of diverted materials",,
"2023","Territories","Copper and aluminum","All sources of diverted materials",,4.4292052631177
"2023","Territories","Copper and aluminum","Residential sources of diverted materials",,
"2023","Territories","Copper and aluminum","Non-residential sources of diverted materials",,
"2023","Territories","Mixed metals","All sources of diverted materials",,6.26961641555109
"2023","Territories","Mixed metals","Residential sources of diverted materials",,
"2023","Territories","Mixed metals","Non-residential sources of diverted materials",,
"2023","Territories","White goods","All sources of diverted materials",,0.924023856615934
"2023","Territories","White goods","Residential sources of diverted materials",,
"2023","Territories","White goods","Non-residential sources of diverted materials",,
"2023","Territories","Electronics","All sources of diverted materials",,
"2023","Territories","Electronics","Residential sources of diverted materials",,
"2023","Territories","Electronics","Non-residential sources of diverted materials",,
"2023","Territories","Plastics","All sources of diverted materials",,
"2023","Territories","Plastics","Residential sources of diverted materials",,
"2023","Territories","Plastics","Non-residential sources of diverted materials",,
"2023","Territories","Gable top and aseptic containers","All sources of diverted materials",,1.44330999091249
"2023","Territories","Gable top and aseptic containers","Residential sources of diverted materials",,1.34403470053227
"2023","Territories","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.106911851178703
"2023","Territories","Textiles","All sources of diverted materials",,
"2023","Territories","Textiles","Residential sources of diverted materials",,
"2023","Territories","Textiles","Non-residential sources of diverted materials",,
"2023","Territories","Tires","All sources of diverted materials",,6.17034112517087
"2023","Territories","Tires","Residential sources of diverted materials",,
"2023","Territories","Tires","Non-residential sources of diverted materials",,
"2023","Territories","Construction, renovation and demolition","All sources of diverted materials",,
"2023","Territories","Construction, renovation and demolition","Residential sources of diverted materials",,
"2023","Territories","Construction, renovation and demolition","Non-residential sources of diverted materials",,
"2023","Territories","All organic materials","All sources of diverted materials",,
"2023","Territories","All organic materials","Residential sources of diverted materials",,
"2023","Territories","All organic materials","Non-residential sources of diverted materials",,
"2023","Territories","Food waste and source separated organics","All sources of diverted materials",,
"2023","Territories","Food waste and source separated organics","Residential sources of diverted materials",,
"2023","Territories","Food waste and source separated organics","Non-residential sources of diverted materials",,
"2023","Territories","Leaf and yard waste","All sources of diverted materials",,
"2023","Territories","Leaf and yard waste","Residential sources of diverted materials",,
"2023","Territories","Leaf and yard waste","Non-residential sources of diverted materials",,
"2023","Territories","Other organic materials","All sources of diverted materials",,
"2023","Territories","Other organic materials","Residential sources of diverted materials",,
"2023","Territories","Other organic materials","Non-residential sources of diverted materials",,
"2023","Territories","Other materials","All sources of diverted materials",,0
"2023","Territories","Other materials","Residential sources of diverted materials",,0
"2023","Territories","Other materials","Non-residential sources of diverted materials",,0
"2024","Canada","All materials diverted","Residential sources of diverted materials",,
"2024","Canada","All materials diverted","Non-residential sources of diverted materials",,
"2024","Canada","All paper fibres","All sources of diverted materials",,69.9033978426181
"2024","Canada","All paper fibres","Residential sources of diverted materials",,28.929898746142
"2024","Canada","All paper fibres","Non-residential sources of diverted materials",,40.9747108555118
"2024","Canada","Glass","All sources of diverted materials",,9.53096951943745
"2024","Canada","Glass","Residential sources of diverted materials",,6.75941001779129
"2024","Canada","Glass","Non-residential sources of diverted materials",,2.77185032381473
"2024","Canada","Ferrous metals","All sources of diverted materials",,9.65604728710296
"2024","Canada","Ferrous metals","Residential sources of diverted materials",,3.19274270727665
"2024","Canada","Ferrous metals","Non-residential sources of diverted materials",,6.46376504825988
"2024","Canada","Copper and aluminum","All sources of diverted materials",,2.39232739383179
"2024","Canada","Copper and aluminum","Residential sources of diverted materials",,1.16643924777004
"2024","Canada","Copper and aluminum","Non-residential sources of diverted materials",,1.22593661642318
"2024","Canada","Mixed metals","All sources of diverted materials",,2.86825787269546
"2024","Canada","Mixed metals","Residential sources of diverted materials",,1.42112676189461
"2024","Canada","Mixed metals","Non-residential sources of diverted materials",,1.44749463851156
"2024","Canada","White goods","All sources of diverted materials",,1.86477598004708
"2024","Canada","White goods","Residential sources of diverted materials",,1.24236806894734
"2024","Canada","White goods","Non-residential sources of diverted materials",,0.622553322184019
"2024","Canada","Electronics","All sources of diverted materials",,2.21276893992096
"2024","Canada","Electronics","Residential sources of diverted materials",,
"2024","Canada","Electronics","Non-residential sources of diverted materials",,
"2024","Canada","Plastics","All sources of diverted materials",,7.32043021614219
"2024","Canada","Plastics","Residential sources of diverted materials",,5.70006603359689
"2024","Canada","Plastics","Non-residential sources of diverted materials",,1.62092159170172
"2024","Canada","Gable top and aseptic containers","All sources of diverted materials",,0.720633098534016
"2024","Canada","Gable top and aseptic containers","Residential sources of diverted materials",,0.530992809446117
"2024","Canada","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.189688759449327
"2024","Canada","Textiles","All sources of diverted materials",,0.248701424488181
"2024","Canada","Textiles","Residential sources of diverted materials",,0.204763041853503
"2024","Canada","Textiles","Non-residential sources of diverted materials",,0.0439383826346787
"2024","Canada","Tires","All sources of diverted materials",,10.1341104618695
"2024","Canada","Tires","Residential sources of diverted materials",,
"2024","Canada","Tires","Non-residential sources of diverted materials",,
"2024","Canada","Construction, renovation and demolition","All sources of diverted materials",,15.4584100184941
"2024","Canada","Construction, renovation and demolition","Residential sources of diverted materials",,1.85214945089503
"2024","Canada","Construction, renovation and demolition","Non-residential sources of diverted materials",,13.6066968008519
"2024","Canada","All organic materials","All sources of diverted materials",,75.3684310936496
"2024","Canada","All organic materials","Residential sources of diverted materials",,60.2571658037044
"2024","Canada","All organic materials","Non-residential sources of diverted materials",,15.1117742287402
"2024","Canada","Food waste and source separated organics","All sources of diverted materials",,41.4172210201707
"2024","Canada","Food waste and source separated organics","Residential sources of diverted materials",,34.7951517714863
"2024","Canada","Food waste and source separated organics","Non-residential sources of diverted materials",,6.62228736531086
"2024","Canada","Leaf and yard waste","All sources of diverted materials",,26.0580298315202
"2024","Canada","Leaf and yard waste","Residential sources of diverted materials",,23.3297543626294
"2024","Canada","Leaf and yard waste","Non-residential sources of diverted materials",,2.72851782069791
"2024","Canada","Other organic materials","All sources of diverted materials",,7.89318024195871
"2024","Canada","Other organic materials","Residential sources of diverted materials",,2.13225966958869
"2024","Canada","Other organic materials","Non-residential sources of diverted materials",,5.76096904273145
"2024","Canada","Other materials","All sources of diverted materials",,0.593325694242804
"2024","Canada","Other materials","Residential sources of diverted materials",,0.244581443766783
"2024","Canada","Other materials","Non-residential sources of diverted materials",,0.34985906878887
"2024","Newfoundland and Labrador","All materials diverted","All sources of diverted materials",10,89.9136721957178
"2024","Newfoundland and Labrador","All materials diverted","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","All materials diverted","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","All paper fibres","All sources of diverted materials",10,45.7550162836072
"2024","Newfoundland and Labrador","All paper fibres","Residential sources of diverted materials",10,18.2292285721078
"2024","Newfoundland and Labrador","All paper fibres","Non-residential sources of diverted materials",10,27.5294448944811
"2024","Newfoundland and Labrador","Glass","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","Glass","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Glass","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Ferrous metals","All sources of diverted materials",10,1.8139627589057
"2024","Newfoundland and Labrador","Ferrous metals","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Ferrous metals","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Copper and aluminum","All sources of diverted materials",10,0.59794941750218
"2024","Newfoundland and Labrador","Copper and aluminum","Residential sources of diverted materials",10,0.316346327913998
"2024","Newfoundland and Labrador","Copper and aluminum","Non-residential sources of diverted materials",10,0.28708886406068
"2024","Newfoundland and Labrador","Mixed metals","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","Mixed metals","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Mixed metals","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","White goods","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","White goods","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","White goods","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Electronics","All sources of diverted materials",10,1.29281418401848
"2024","Newfoundland and Labrador","Electronics","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Electronics","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Plastics","All sources of diverted materials",10,6.05995220061843
"2024","Newfoundland and Labrador","Plastics","Residential sources of diverted materials",10,3.90587142441791
"2024","Newfoundland and Labrador","Plastics","Non-residential sources of diverted materials",10,2.15590936769135
"2024","Newfoundland and Labrador","Gable top and aseptic containers","All sources of diverted materials",10,1.54333121826251
"2024","Newfoundland and Labrador","Gable top and aseptic containers","Residential sources of diverted materials",10,0.974639264613646
"2024","Newfoundland and Labrador","Gable top and aseptic containers","Non-residential sources of diverted materials",10,0.570520545139695
"2024","Newfoundland and Labrador","Textiles","All sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Textiles","Residential sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Textiles","Non-residential sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Tires","All sources of diverted materials",10,12.8001404358265
"2024","Newfoundland and Labrador","Tires","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Tires","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Construction, renovation and demolition","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","Construction, renovation and demolition","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Construction, renovation and demolition","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","All organic materials","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","All organic materials","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","All organic materials","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Food waste and source separated organics","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","Food waste and source separated organics","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Food waste and source separated organics","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Leaf and yard waste","All sources of diverted materials",10,
"2024","Newfoundland and Labrador","Leaf and yard waste","Residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Leaf and yard waste","Non-residential sources of diverted materials",10,
"2024","Newfoundland and Labrador","Other organic materials","All sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Other organic materials","Residential sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Other organic materials","Non-residential sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Other materials","All sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Other materials","Residential sources of diverted materials",10,0
"2024","Newfoundland and Labrador","Other materials","Non-residential sources of diverted materials",10,0
"2024","Prince Edward Island","All materials diverted","All sources of diverted materials",11,310.607704678119
"2024","Prince Edward Island","All materials diverted","Residential sources of diverted materials",11,
"2024","Prince Edward Island","All materials diverted","Non-residential sources of diverted materials",11,
"2024","Prince Edward Island","All paper fibres","All sources of diverted materials",11,74.6206366959918
"2024","Prince Edward Island","All paper fibres","Residential sources of diverted materials",11,16.1705868932552
"2024","Prince Edward Island","All paper fibres","Non-residential sources of diverted materials",11,58.4500498027366
"2024","Prince Edward Island","Glass","All sources of diverted materials",11,2.48179000495245
"2024","Prince Edward Island","Glass","Residential sources of diverted materials",11,0.745649911801857
"2024","Prince Edward Island","Glass","Non-residential sources of diverted materials",11,1.73614009315059
"2024","Prince Edward Island","Ferrous metals","All sources of diverted materials",11,42.8080953096395
"2024","Prince Edward Island","Ferrous metals","Residential sources of diverted materials",11,12.8429850480499
"2024","Prince Edward Island","Ferrous metals","Non-residential sources of diverted materials",11,29.9651102615896
"2024","Prince Edward Island","Copper and aluminum","All sources of diverted materials",11,7.42867636011552
"2024","Prince Edward Island","Copper and aluminum","Residential sources of diverted materials",11,2.82122765136971
"2024","Prince Edward Island","Copper and aluminum","Non-residential sources of diverted materials",11,4.60744870874581
"2024","Prince Edward Island","Mixed metals","All sources of diverted materials",11,9.1592519016855
"2024","Prince Edward Island","Mixed metals","Residential sources of diverted materials",11,1.83073747002098
"2024","Prince Edward Island","Mixed metals","Non-residential sources of diverted materials",11,7.32851443166452
"2024","Prince Edward Island","White goods","All sources of diverted materials",11,31.0390687166475
"2024","Prince Edward Island","White goods","Residential sources of diverted materials",11,11.7968493508951
"2024","Prince Edward Island","White goods","Non-residential sources of diverted materials",11,19.2422193657524
"2024","Prince Edward Island","Electronics","All sources of diverted materials",11,2.54300007233917
"2024","Prince Edward Island","Electronics","Residential sources of diverted materials",11,
"2024","Prince Edward Island","Electronics","Non-residential sources of diverted materials",11,
"2024","Prince Edward Island","Plastics","All sources of diverted materials",11,4.38486664552137
"2024","Prince Edward Island","Plastics","Residential sources of diverted materials",11,0.879199149736518
"2024","Prince Edward Island","Plastics","Non-residential sources of diverted materials",11,3.50566749578485
"2024","Prince Edward Island","Gable top and aseptic containers","All sources of diverted materials",11,1.24089500247623
"2024","Prince Edward Island","Gable top and aseptic containers","Residential sources of diverted materials",11,0.990490181348736
"2024","Prince Edward Island","Gable top and aseptic containers","Non-residential sources of diverted materials",11,0.250404821127489
"2024","Prince Edward Island","Textiles","All sources of diverted materials",11,0
"2024","Prince Edward Island","Textiles","Residential sources of diverted materials",11,0
"2024","Prince Edward Island","Textiles","Non-residential sources of diverted materials",11,0
"2024","Prince Edward Island","Tires","All sources of diverted materials",11,16.6936547418326
"2024","Prince Edward Island","Tires","Residential sources of diverted materials",11,
"2024","Prince Edward Island","Tires","Non-residential sources of diverted materials",11,
"2024","Prince Edward Island","Construction, renovation and demolition","All sources of diverted materials",11,0
"2024","Prince Edward Island","Construction, renovation and demolition","Residential sources of diverted materials",11,0
"2024","Prince Edward Island","Construction, renovation and demolition","Non-residential sources of diverted materials",11,0
"2024","Prince Edward Island","All organic materials","All sources of diverted materials",11,118.207769226917
"2024","Prince Edward Island","All organic materials","Residential sources of diverted materials",11,93.195109872071
"2024","Prince Edward Island","All organic materials","Non-residential sources of diverted materials",11,25.0126593548459
"2024","Prince Edward Island","Food waste and source separated organics","All sources of diverted materials",11,110.762399212059
"2024","Prince Edward Island","Food waste and source separated organics","Residential sources of diverted materials",11,86.4953897690155
"2024","Prince Edward Island","Food waste and source separated organics","Non-residential sources of diverted materials",11,24.267009443044
"2024","Prince Edward Island","Leaf and yard waste","All sources of diverted materials",11,7.44537001485735
"2024","Prince Edward Island","Leaf and yard waste","Residential sources of diverted materials",11,6.6997201030555
"2024","Prince Edward Island","Leaf and yard waste","Non-residential sources of diverted materials",11,0.745649911801857
"2024","Prince Edward Island","Other organic materials","All sources of diverted materials",11,0
"2024","Prince Edward Island","Other organic materials","Residential sources of diverted materials",11,0
"2024","Prince Edward Island","Other organic materials","Non-residential sources of diverted materials",11,0
"2024","Prince Edward Island","Other materials","All sources of diverted materials",11,0
"2024","Prince Edward Island","Other materials","Residential sources of diverted materials",11,0
"2024","Prince Edward Island","Other materials","Non-residential sources of diverted materials",11,0
"2024","Nova Scotia","All materials diverted","All sources of diverted materials",12,289.274074156168
"2024","Nova Scotia","All materials diverted","Residential sources of diverted materials",12,
"2024","Nova Scotia","All materials diverted","Non-residential sources of diverted materials",12,
"2024","Nova Scotia","All paper fibres","All sources of diverted materials",12,65.3897553402434
"2024","Nova Scotia","All paper fibres","Residential sources of diverted materials",12,21.3498908816193
"2024","Nova Scotia","All paper fibres","Non-residential sources of diverted materials",12,44.0398644586241
"2024","Nova Scotia","Glass","All sources of diverted materials",12,4.06273175534209
"2024","Nova Scotia","Glass","Residential sources of diverted materials",12,2.50930715600465
"2024","Nova Scotia","Glass","Non-residential sources of diverted materials",12,1.5543481573632
"2024","Nova Scotia","Ferrous metals","All sources of diverted materials",12,4.64457331157431
"2024","Nova Scotia","Ferrous metals","Residential sources of diverted materials",12,2.81131063042994
"2024","Nova Scotia","Ferrous metals","Non-residential sources of diverted materials",12,1.83326268114436
"2024","Nova Scotia","Copper and aluminum","All sources of diverted materials",12,1.36686587813282
"2024","Nova Scotia","Copper and aluminum","Residential sources of diverted materials",12,1.26896872740169
"2024","Nova Scotia","Copper and aluminum","Non-residential sources of diverted materials",12,0.0988207087569001
"2024","Nova Scotia","Mixed metals","All sources of diverted materials",12,0.775788741642954
"2024","Nova Scotia","Mixed metals","Residential sources of diverted materials",12,0.739769978638103
"2024","Nova Scotia","Mixed metals","Non-residential sources of diverted materials",12,0.0360187630048514
"2024","Nova Scotia","White goods","All sources of diverted materials",12,
"2024","Nova Scotia","White goods","Residential sources of diverted materials",12,
"2024","Nova Scotia","White goods","Non-residential sources of diverted materials",12,
"2024","Nova Scotia","Electronics","All sources of diverted materials",12,2.0059680319625
"2024","Nova Scotia","Electronics","Residential sources of diverted materials",12,
"2024","Nova Scotia","Electronics","Non-residential sources of diverted materials",12,
"2024","Nova Scotia","Plastics","All sources of diverted materials",12,10.6901841482348
"2024","Nova Scotia","Plastics","Residential sources of diverted materials",12,8.52351701978908
"2024","Nova Scotia","Plastics","Non-residential sources of diverted materials",12,2.16851424449721
"2024","Nova Scotia","Gable top and aseptic containers","All sources of diverted materials",12,1.61160875496066
"2024","Nova Scotia","Gable top and aseptic containers","Residential sources of diverted materials",12,1.42135580165298
"2024","Nova Scotia","Gable top and aseptic containers","Non-residential sources of diverted materials",12,0.190252953307677
"2024","Nova Scotia","Textiles","All sources of diverted materials",12,
"2024","Nova Scotia","Textiles","Residential sources of diverted materials",12,
"2024","Nova Scotia","Textiles","Non-residential sources of diverted materials",12,
"2024","Nova Scotia","Tires","All sources of diverted materials",12,2.87226546013046
"2024","Nova Scotia","Tires","Residential sources of diverted materials",12,
"2024","Nova Scotia","Tires","Non-residential sources of diverted materials",12,
